CashReserveRatio,CashDepositRatio,ReverseRepoRate,MarginalFacilityRate,BankRate,TermDepositRate,SavingsDepositRate,CallMoneyRate,TreasuryBill,Inflation,RepoRate,BaseRate
4,4.81,7,9,9,8,4,7.88,0,6.67,8,10
4,0,7,9,9,8,4,7.85,8.31,6.67,8,10
4,4.85,7,9,9,8,4,7.9,0,6.67,8,10
4,0,7,9,9,8,4,7.82,8.4,6.67,8,10
4,4.73,7,9,9,8,4,7.89,0,6.67,8,10
4,0,7,9,9,8,4,7.67,8.4,6.67,8,10
4,4.81,7,9,9,8,4,7.91,0,6.67,8,10
4,0,7,9,9,8,4,8.43,8.53,6.67,8,10
4,4.72,7,9,9,8,4,7.79,0,6.67,8,10
4,0,7,9,9,8,4,7.91,8.62,6.67,8,10
4,4.76,7,9,9,8,4,7.76,0,6.67,8,10
4,0,7,9,9,8,4,7.85,8.66,6.67,8,10
4,4.76,7,9,9,8,4,7.93,0,6.67,8,10
4,0,7,9,9,8,4,7.82,8.71,6.67,8,10
4,4.7,7,9,9,8,4,7.48,0,6.67,8,10
4,0,7,9,9,8,4,8.01,8.68,6.67,8,10
4,4.71,7,9,9,8,4,7.86,0,6.67,8,10
4,0,7,9,9,8,4,8.25,8.71,6.67,8,10
4,4.64,7,9,9,8,4,7.97,0,6.67,8,10
4,0,7,9,9,8,4,8.05,8.71,6.67,8,10
4,4.83,7,9,9,8,4,8.67,0,6.67,8,10
4,0,7,9,9,8,4,8.05,8.64,6.67,8,10
4,4.7,7,9,9,8,4,8.45,0,6.67,8,10
4,0,7,9,9,8,4,8.08,8.64,6.67,8,10
4,4.89,7,9,9,8,4,8.11,0,6.67,8,10
4,0,7,9,9,8,4,8.18,8.66,6.67,8,10
4,4.95,7,9,9,8,4,8,0,6.67,8,10
4,0,7,9,9,8,4,7.9,8.6,6.67,8,10
4,4.84,7,9,9,8,4,7.78,0,6.67,8,10
4,0,7,9,9,8,4,7.87,8.71,6.67,8,10
4,4.76,7,9,9,8,4,8.26,0,6.67,8,10
4,0,7,9,9,8,4,8.04,8.88,6.67,8,10
4,4.81,7,9,9,8,4,8.58,0,6.67,8,10
4,0,7,9,9,8,4,8.46,8.9,6.67,8,10
4,4.75,7,9,9,8,4,8.07,0,6.67,8,10
4,0,7,9,9,8,4,8.12,8.97,6.67,8,10
4,4.69,7,9,9,8,4,8.48,0,6.67,8,10
4,0,7,9,9,8,4,8.59,8.86,6.67,8,10
4,4.68,7,9,9,8,4,8.88,0,6.67,8,10
4,0,7,9,9,8,4,8.18,9.12,6.67,8,10
4,4.76,7,9,9,8,4,7.88,0,6.67,8,10
4,0,7,9,9,8,4,7.93,9.1,6.67,8,10
4,4.7,7,9,9,8,4,8.09,0,6.67,8,10
4,0,7,9,9,8,4,8.9,9.08,6.67,8,10
4,4.72,7,9,9,8,4,7.95,0,6.67,8,10
4,0,7,9,9,8,4,8.11,8.95,6.67,8,10
4,4.88,6.75,8.75,8.75,8,4,8.11,0,6.67,7.75,10
4,0,6.75,8.75,8.75,8,4,8.57,8.71,6.67,7.75,10
4,4.82,6.75,8.75,8.75,8,4,8.25,0,6.67,7.75,10
4,0,6.75,8.75,8.75,8,4,8.19,8.77,6.67,7.75,10
4,4.95,6.75,8.75,8.75,8,4,8.72,0,10.02,7.75,10
4,0,6.75,8.75,8.75,8,4,8.64,8.84,10.02,7.75,10
4,5.16,6.75,8.75,8.75,8,4,7.63,0,10.02,7.75,10
4,0,6.75,8.75,8.75,8,4,7.23,8.81,10.02,7.75,10
4,5.02,6.75,8.75,8.75,8,4,8.27,0,10.02,7.75,10
4,0,6.75,8.75,8.75,8,4,8.68,9.12,10.02,7.75,10
4,4.87,6.75,8.75,8.75,8,4,8.7,0,10.02,7.75,10
4,0,6.75,8.75,8.75,8,4,8.18,8.77,10.02,7.75,10
4,5.12,6.75,8.75,8.75,8,4,8.67,0,10.02,7.75,9.8
4,0,6.5,9,9,8,4,8.98,8.68,10.02,7.5,9.8
4,4.95,6.5,9,9,8,4,8.91,0,10.02,7.5,9.8
4,0,6.5,9,9,8,4,9.08,8.77,10.02,7.5,9.8
4,4.8,6.5,9.5,9.5,8,4,9.44,0,10.02,7.5,9.8
4,0,6.5,9.5,9.5,8,4,9.46,9.47,10.02,7.5,9.8
4,5.07,6.5,9.5,9.5,8,4,10.29,0,10.02,7.5,9.8
4,0,6.25,10.25,10.25,8,4,10.38,10.2,10.02,7.25,9.7
4,5.19,6.25,10.25,10.25,8,4,10.1,0,10.02,7.25,9.7
4,0,6.25,10.25,10.25,8,4,10.23,12.01,10.02,7.25,9.7
4,5.11,6.25,10.25,10.25,8,4,10.21,0,10.02,7.25,9.7
4,0,6.25,10.25,10.25,8,4,10.18,11,10.02,7.25,9.7
4,5.09,6.25,10.25,10.25,7.5,4,9.3,0,10.02,7.25,9.7
4,0,6.25,10.25,10.25,7.5,4,9.45,10.73,10.02,7.25,9.7
4,5.04,6.25,10.25,10.25,7.5,4,8.33,0,10.02,7.25,9.7
4,0,6.25,10.25,10.25,7.5,4,7.74,0,10.02,7.25,9.7
4,4.92,6.25,8.25,8.25,7.5,4,7.09,0,10.02,7.25,9.7
4,0,6.25,8.25,8.25,7.5,4,6.95,7.6,10.02,7.25,9.7
4,5.26,6.25,8.25,8.25,7.5,4,7.19,0,10.02,7.25,9.7
4,0,6.25,8.25,8.25,7.5,4,7.26,7.4,10.02,7.25,9.7
4,5.24,6.25,8.25,8.25,7.5,4,7.25,0,10.02,7.25,9.7
